ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
13,60.50833333333333,41.51016666666667,-16.5,8.9,8.3125,20.5257017837327,17.950000000000003,3.0134103,2.3940574925,0.0001039,64.7742548986895,0.5547782574314886,-91.53841247619562,46.11594264899249,-24.87465997430504,61.65654846944268,38.07309357173497
14,60.7625,38.325138888888894,7.1,16.3,31.9125,27.925701783732702,25.35,2.0179389,1.3985860925,0.0001301,105.3935700024544,0.9026743912669569,64.08988177995394,288.06596511306765,661.334539625775,355.514739105334,223.11816356732746
15,61.016666666666666,38.19622222222222,37.9,17.6,62.7125,29.225701783732703,26.650000000000002,1.4828193,0.8634664925000001,0.0001357,168.5339186470556,1.443458575499653,547.0708001143684,905.2289591602197,420.37017628548466,1410.8542636062998,748.2064967057319
16,61.016666666666666,35.84883333333334,-273.0,16.9,-248.1875,28.5257017837327,25.95,0.5219271,-0.09742570750000001,0.0001392,1038.050808738894,8.890693064678729,-24271.592066572928,-22065.58884989952,1365.9650240413987,-22065.58884989952,-22065.58884989952
17,61.270833333333336,39.28658333333333,7.0,15.3,31.8125,26.925701783732702,24.35,1.4292054,0.8098525925000001,0.0001357,179.63434037023387,1.5385314193319957,107.6971993532397,489.4453077749911,1069.7876012796235,518.5846776696782,379.3313873784505
18,61.525,36.76508333333334,49.9,14.6,74.7125,26.225701783732703,23.65,0.7319374,0.11258459249999997,0.0001392,1038.0508087388941,8.89069306467873,4436.455839274686,6642.459055948096,1943.4850143655751,6642.459055948096,3214.279742484228
20,61.77916666666667,39.424416666666666,-3.4,10.5,21.4125,22.1257017837327,19.55,1.3597834,0.7404305925,0.0001357,196.3828193161234,1.681978719169891,-57.18727645177628,360.15369324225287,-1112.2393467775457,659.4688837736488,303.85247882156864
21,61.77916666666667,36.67855555555556,60.9,15.8,85.7125,27.425701783732702,24.85,0.822847,0.2034941925,0.0001384,708.7513289411537,6.070310308273111,3696.8189777383245,5203.014722978591,1349.879025009224,7620.435293062756,2424.8526466828316
22,62.03333333333333,41.27672222222222,-2.4,17.5,22.4125,29.1257017837327,26.55,1.1587422,0.5393893925000001,0.0001373,268.5347472290872,2.2999452384371972,-55.19868572249274,515.4752265647369,-3758.67352703454,576.1909343923728,421.3505823930867
23,62.03333333333333,40.37902777777778,21.8,6.1,46.6125,17.725701783732703,15.15,2.3540301,1.7346772925000002,0.0001256,85.89697128908114,0.7356900071630642,160.38042156154802,342.9235045888833,95.95565954092606,370.4034286439004,331.4820325802102
24,62.03333333333333,41.55561111111111,-2.4,9.6,22.4125,21.225701783732703,18.65,1.1015601,0.48220729249999994,0.0001373,300.3257404003273,2.5722285988732545,-61.733486372958104,576.5007347224682,-2306.002938889873,694.612197051752,415.2779906210428
25,62.03333333333333,36.59227777777778,59.1,11.6,83.9125,23.225701783732703,20.65,0.4451679,-0.17418490749999999,0.0001392,1038.050808738894,8.89069306467873,5254.399601225129,7460.402817898538,1464.3091825316926,7460.402817898538,7460.402817898538
26,62.2875,38.80938888888888,56.0,2.4,80.8125,14.025701783732702,11.450000000000001,1.9993387,1.3799858925000001,0.0001301,106.7845174041419,0.9145875715404155,512.1690400626327,739.1010812510983,31.675760625047072,841.5498714530506,653.1403620920393
28,63.55833333333333,36.04338888888888,55.4,26.0,80.2125,37.6257017837327,35.05,0.15904902,-0.4603037875,0.0001392,1038.050808738894,8.89069306467873,4925.443957832015,7131.447174505426,3346.888565652366,7131.447174505426,7131.447174505426
29,63.55833333333333,36.04741666666666,34.1,8.1,58.9125,19.725701783732703,17.15,0.15904902,-0.4603037875,0.0001392,1038.050808738894,8.890693064678729,3031.7263350554467,5237.729551728856,1244.1527674194642,5237.729551728856,5237.729551728856
30,64.32083333333334,35.27763888888889,34.8,5.5,59.6125,17.1257017837327,14.55,0.47522834,-0.14412446749999996,0.0001392,1038.050808738894,8.890693064678729,3093.9611865081974,5299.964403181607,837.6380522269781,5299.964403181607,1684.1981468591352
31,64.575,38.01386111111111,-24.2,11.2,0.6125000000000007,22.8257017837327,20.25,3.5451694,2.9258165925,8.371e-05,55.440658568461245,0.47483791206199305,-114.9107747190023,2.9083822113797106,-1.3460281308864774,3.364640981109862,2.9083822113797106
