ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec
11	356	40	81.8625	-10.737944444444443	-61.2	11.8	81.8744215131946	-10.749562648878	0.69448584	1	0.15962084	81.8999217546373	-10.72499180054391	1.2671691	81.89952541554587	-10.77470975220937
12	356	24	81.8625	-11.137416666666667	29.4	4.8	81.87122547863082	-11.147119721003936	0.4823561	1	0.18121347	81.84610362999702	-11.121982149404326	0.7775852	81.89635151926572	-11.17225505107886
13	338	268	82.37083333333334	-5.066777777777777	-1.0	7.3	82.36929529723315	-5.068231133026667	1.1425351	1	0.57743245	82.39413519115878	-5.093277815533144	1.4834284	82.36946519745248	-5.043303866188172
14	338	275	82.37083333333334	-4.888416666666666	8.5	6.5	82.3704842058928	-4.893758057086651	0.91942126	1	0.7512227	82.39548303444613	-4.8938719533270385	1.5344061	82.34531539105335	-4.9185647839178985
15	336	31	82.37083333333334	-10.982416666666667	-19.6	14.5	82.3791718212969	-10.978733924094284	0.6013364	1	0.07605472	82.3793434255411	-10.953874754096095	2.0966911	82.35365933854976	-11.003335807153878
16	317	88	82.87916666666666	-9.5515	7.4	7.8	82.86906533631455	-9.563674489558824	0.8232442	1	0.60003793	82.89448910016351	-9.538925544363881	1.028251	82.8436397530331	-9.58841975552171
17	317	183	82.87916666666666	-7.181972222222223	-36.3	5.0	82.8826609739152	-7.192332440595239	0.8276192	1	0.26255095	82.90795048234814	-7.16749655174856	1.0041146	82.8825186070729	-7.217307307171044
18	307	122	83.13333333333334	-8.710999999999999	67.1	9.4	83.12632738129699	-8.717093362408535	0.7174646	1	0.3639161	83.15157048290969	-8.71724605625543	1.0631045	83.10121589941974	-8.691976138430805
19	307	136	83.13333333333334	-8.364138888888888	-100.8	9.2	83.12813649533058	-8.36756033670516	0.76255554	1	0.48687643	83.12826561008892	-8.342590181393152	1.2325295	83.10278336729392	-8.392381503703838
20	286	24	83.64166666666667	-11.158055555555556	20.0	17.3	83.64676619391095	-11.162968249142358	0.47842258	1	0.07186193	83.64666522022881	-11.187838717854046	1.0727421	83.6214711387366	-11.137943601578478
21	286	18	83.64166666666667	-11.317277777777777	14.0	6.2	83.6461601823165	-11.312168560547102	0.13670546	1	0.09909868	83.64605914082043	-11.337029964305875	0.6096555	83.67156684715395	-11.312321481726672
22	277	255	83.89583333333333	-5.391472222222222	-13.5	10.2	83.89548581035581	-5.398153544966547	13.854413	1	8.925973	83.89539985176147	-5.423118596648086	17.054918	83.89557175945454	-5.373189195460048
23	277	256	83.89583333333333	-5.378638888888888	10.9	9.4	83.89557175945454	-5.373189195460048	17.054918	1	13.5292635	83.92056597882687	-5.398216827009951	18.31624	83.87058089511143	-5.348161850752223
24	256	13	84.40416666666667	-11.437555555555555	-23.0	15.1	84.40833218082204	-11.4401458045886	0.44386816	1	0.08844935	84.38284230350332	-11.464916105269658	0.59301674	84.40839059350554	-11.415282635251378
25	226	262	85.16666666666667	-5.218055555555556	81.0	15.0	85.17522923038203	-5.225272031830065	2.0721	1	1.7938166	85.2003034994311	-5.250251446190772	2.2903166	85.15012456755623	-5.250229421204583
26	226	56	85.16666666666667	-10.382166666666667	28.1	15.5	85.17205177578487	-10.37127615159486	1.139908	1	1.0268867	85.17203617278481	-10.396201119592776	1.6452881	85.14669192447091	-10.346327166055426
27	216	243	85.42083333333333	-5.6971944444444444	58.9	2.2	85.42608736347802	-5.6998671933710625	2.3480268	1	1.4065692	85.40096956542106	-5.724847562145467	2.3480268	85.42608736347802	-5.6998671933710625
28	196	269	85.92916666666666	-5.043138888888889	45.9	11.6	85.92769170353924	-5.050396270697261	1.445048	1	1.445048	85.92769170353924	-5.050396270697261	2.3605375	85.95279654317258	-5.07534014995421
29	196	50	85.92916666666666	-10.51475	26.3	5.8	85.93352581426646	-10.52056559573062	3.33734	1	2.6179411	85.95890996190236	-10.520526224474963	3.855446	85.90816702557916	-10.545520136919881
30	176	251	86.4375	-5.490944444444445	24.1	11.1	86.43016007265012	-5.499235787787005	1.8468672	1	1.8422424	86.45520097774158	-5.474221847691362	2.3343744	86.40511602431266	-5.524249720698458
31	176	208	86.4375	-6.584	-0.3	6.9	86.43249259406589	-6.573565235970144	1.223674	1	0.79304975	86.457704540835	-6.598508395796085	1.4214115	86.4575930062917	-6.548523070899988
32	176	14	86.4375	-11.404	16.8	12.9	86.4431557481504	-11.415457855170143	0.20649806	1	0.20532115	86.41772593511385	-11.415542182632402	0.69739896	86.41778007622699	-11.440405916074926
33	176	251	86.4375	-5.492083333333333	23.5	9.5	86.43016007265012	-5.499235787787005	1.8468672	1	1.8422424	86.45520097774158	-5.474221847691362	2.3343744	86.40511602431266	-5.524249720698458
34	176	36	86.4375	-10.862583333333333	-3.1	13.2	86.44193489010595	-10.86807831442166	2.3459888	1	1.930652	86.4672761853646	-10.843098757650756	2.6632195	86.4673898764302	-10.892891761275795
35	155	299	86.94583333333334	-4.304583333333333	13.5	8.0	86.95310678423081	-4.300619977590485	2.418167	1	1.9708927	86.97821093542403	-4.325496050758491	2.457122	86.95318957092788	-4.325545804135852
36	155	299	86.94583333333334	-4.297805555555556	10.6	6.7	86.95310678423081	-4.300619977590485	2.418167	1	1.9708927	86.97821093542403	-4.325496050758491	2.457122	86.95318957092788	-4.325545804135852
37	156	11	86.94583333333334	-11.49472222222222	-16.3	8.3	86.9519087372305	-11.48788387464879	0.84074783	1	0.51881003	86.92656700711031	-11.512867166779165	1.1238904	86.95182469093692	-11.463028158901212
38	145	222	87.2	-6.211777777777778	-26.3	16.9	87.21074572157588	-6.221687174386006	0.5192787	1	0.3446117	87.18552886677908	-6.1967894107345645	0.90659434	87.18572084890543	-6.246750422666431
39	146	200	87.2	-6.762944444444445	17.7	12.4	87.1877392295567	-6.771418298951585	1.3388324	1	0.7154276	87.1624922774637	-6.746519918940119	1.3895992	87.21289068430885	-6.771328370762854
40	146	48	87.2	-10.558	8.2	6.8	87.20248965500399	-10.565938385231636	1.4097509	1	1.303992	87.22785447943345	-10.56579757664249	1.7048651	87.17712414389699	-10.566077173307322
41	145	281	87.2	-4.737972222222222	-19.6	12.1	87.20501901663941	-4.748859084476419	1.0213251	1	0.5580758	87.23015568786082	-4.7737362342759875	1.2081838	87.17988444501776	-4.723981308280172
42	146	149	87.2	-8.045638888888888	42.6	16.7	87.19266061703031	-8.045768721398314	1.663536	1	1.4794471	87.16753267340653	-8.070858035161297	2.3046749	87.21788326200503	-8.045661675943672
43	135	269	87.45416666666667	-5.035583333333333	-17.4	16.3	87.45669999686199	-5.047492396874408	0.9948159	1	0.7638257	87.48174786113654	-5.047415048008959	1.0747933	87.43176067420104	-5.072517387817496
44	125	213	87.70833333333333	-6.440138888888889	95.6	11.9	87.71413489257488	-6.444554417269791	0.7442724	1	0.73542327	87.7391253803991	-6.41946811963534	1.4978756	87.68889304857478	-6.419688654483932
45	115	153	87.9625	-7.938166666666667	103.6	15.8	87.97364006029633	-7.941850767436205	0.34535423	1	0.07260627	87.97350002453227	-7.91687850601306	0.82921207	87.97378011160053	-7.966822763114959
46	116	55	87.9625	-10.394944444444445	13.3	11.2	87.96210961195922	-10.386557667022686	2.1312969	1	1.875541	87.96196945113508	-10.361655874342237	2.4305806	87.93691764960913	-10.411654730450637
47	116	55	87.9625	-10.38075	28.5	1.8	87.96210961195922	-10.386557667022686	2.1312969	1	1.875541	87.96196945113508	-10.361655874342237	2.4305806	87.93691764960913	-10.411654730450637
